gene	T_cell	T_CD8	T_CD4_reg	T_eff	T_naive	T_CD8_ex	T_TFH	B_cell	Plasma	Plasma_IGA	Plasma_IGG	Macrophage	Macrophage_M1	Macrophage_M2	Macrophage_Angiogenesis	Macrophage_Phagocytosis	CAF	iCAF	mCAF	apCAF
CD3D	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD3E	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CD8A	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD8B	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXP3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL2RA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGIT	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTLA4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL7R	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GZMK	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNLY	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GZMH	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NKG7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRF1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EOMES	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GZMM	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GZMB	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNG	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEF1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SELL	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCR7	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FHIT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAVCR2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAG3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDCD1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LAYN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCR5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCL13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
CD79A	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CD19	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MS4A1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CD79B	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MZB1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
JCHAIN	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
IGHA1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
IGHA2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
IGHG1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
IGHG2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CD68	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CD163	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
IL23	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TNF	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CXCL9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CXCL10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CXCL11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CD86	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IL1A	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IL1B	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IL6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
CCL5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IRF5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IRF1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CD40	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IDO1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KYNU	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
IL4R	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CCL4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CCL13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CCL20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CCL17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CCL18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CCL22	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CCL24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LYVE1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
VEGFA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
VEGFB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
VEGFC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
VEGFD	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
EGF	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
